months,years,active_claims,new_claims
January ,2011,"12,004","2,416"
February,2011,"12,521","2,723"
March,2011,"13,474","3,075"
April,2011,"12,078","2,510"
May,2011,"13,810","2,989"
June,2011,"13,128","2,597"
July,2011,"13,372","2,652"
August,2011,"13,266","2,839"
September,2011,"13,495","2,679"
October,2011,"12,720","2,510"
November,2011,"13,523","2,698"
December,2011,"12,970","2,611"
January ,2012,"11,750","2,575"
February,2012,"11,957","2,549"
March,2012,"12,645","2,982"
April,2012,"13,393","2,855"
May,2012,"13,387","2,853"
June,2012,"12,792","2,509"
July,2012,"13,183","2,755"
August,2012,"13,184","2,565"
September,2012,"12,484","2,186"
October,2012,"12,562","2,574"
November,2012,"12,949","2,819"
December,2012,"12,484","2,459"
January ,2013,"12,035","2,578"
February,2013,"12,276","2,583"
March,2013,"12,724","2,928"
April,2013,"12,929","2,695"
May,2013,"13,694","2,899"
June,2013,"13,132","2,808"
July,2013,"13,566","2,771"
August,2013,"13,111","2,758"
September,2013,"12,761","2,582"
October,2013,"13,006","2,611"
November,2013,"13,043","2,685"
December,2013,"13,142","2,547"
January ,2014,"11,497","2,420"
February,2014,"12,112","2,615"
March,2014,"13,322","3,140"
April,2014,"12,898","2,643"
May,2014,"13,063","2,875"
June,2014,"13,278","2,874"
July,2014,"13,777","2,750"
August,2014,"12,962","2,524"
September,2014,"13,211","2,580"
October,2014,"13,358","2,690"
November,2014,"12,717","2,606"
December,2014,"13,440","2,781"
January ,2015,"11,872","2,800"
February,2015,"12,894","3,048"
March,2015,"13,924","3,400"
April,2015,"13,562","2,850"
May,2015,"13,965","3,513"
June,2015,"14,426","3,216"
July,2015,"13,479","2,928"
August,2015,"12,978","2,843"
September,2015,"13,460","2,725"
October,2015,"13,259","2,616"
November,2015,"13,029","3,120"
December,2015,"14,033","3,086"
January ,2016,"12,817","2,946"
February,2016,"13,375","3,169"
March,2016,"14,905","3,633"
April,2016,"13,801","2,776"
May,2016,"14,734","3,516"
June,2016,"14,533","3,207"
July,2016,"14,074","3,070"
August,2016,"14,270","3,252"
September,2016,"13,966","2,919"
October,2016,"13,684","2,926"
November,2016,"14,139","3,283"
December,2016,"14,428","3,181"
January ,2017,"13,149","3,135"
February,2017,"13,865","3,387"
March,2017,"15,011","3,400"
April,2017,"14,844","3,045"
May,2017,"15,808","3,707"
June,2017,"15,236","3,182"
July,2017,"14,255","3,155"
August,2017,"14,914","3,238"
September,2017,"14,409","3,108"
October,2017,"14,464","3,028"
November,2017,"14,624","3,190"
December,2017,"14,789","3,021"
