ethnicity,year,active_claims,New_claims
Asian,2011,3281,2784
Asian,2012,3376,2917
Asian,2013,3533,2982
Asian,2014,3570,3191
Asian,2015,3956,3874
Asian,2016,4247,4042
Asian,2017,4646,4401
European,2011,33137,21170
European,2012,32324,20661
European,2013,33100,21079
European,2014,31964,20784
European,2015,32460,22567
European,2016,33858,23416
European,2017,34186,23420
Maori,2011,6887,4450
Maori,2012,6695,4311
Maori,2013,6859,4347
Maori,2014,6615,4564
Maori,2015,6858,5399
Maori,2016,7343,5842
Maori,2017,7601,6015
Other Ethnicities /Not stated,2011,3707,2320
Other Ethnicities /Not stated,2012,3599,2271
Other Ethnicities /Not stated,2013,3632,2322
Other Ethnicities /Not stated,2014,3406,2206
Other Ethnicities /Not stated,2015,3216,2256
Other Ethnicities /Not stated,2016,3291,2368
Other Ethnicities /Not stated,2017,3401,2596
Pacific Peoples,2011,1946,1575
Pacific Peoples,2012,1922,1521
Pacific Peoples,2013,2075,1715
Pacific Peoples,2014,1986,1753
Pacific Peoples,2015,2100,2049
Pacific Peoples,2016,2284,2210
Pacific Peoples,2017,2370,2164
